Data;Semana;Etapa_Principal;Progresso_Real_%;Meta_Progresso_%;Qtde_Trabalhadores;Custo_Direto_Acumulado_RS;Custo_Projetos_Acumulado_RS;BDI_Acumulado_RS;Custo_Total_Acumulado_RS;Orcado_Total_Acumulado_RS;Consumo_Aco_kg;Consumo_Concreto_m3;Consumo_Tijolos_un;Dias_Chuva_Semana;Falta_Material;Incidentes_Semana;Observacao
06/01/2025;1;Fundação;1,5;2,0;4;16.500;1.980;4.620;23.100;23.650;200;8;0;0;Não;0;Início da obra
13/01/2025;2;Fundação;4,0;5,0;5;52.000;6.240;14.560;72.800;74.500;550;22;0;0;Não;0;
20/01/2025;3;Fundação/Estrutura;8,0;9,0;6;112.000;13.440;31.360;156.800;160.500;1.200;50;0;0;Não;0;
27/01/2025;4;Estrutura;13,0;14,0;8;198.000;23.760;55.440;277.200;283.500;2.100;90;0;0;Não;0;
03/02/2025;5;Estrutura;19,0;20,0;10;308.000;36.960;86.240;431.200;440.000;3.400;145;0;0;Não;0;
10/02/2025;6;Estrutura;26,0;27,0;12;430.000;51.600;120.400;602.000;610.000;4.800;210;0;0;Não;0;
17/02/2025;7;Estrutura;34,0;35,0;14;555.000;66.600;155.400;777.000;785.000;6.200;280;0;0;Não;0;
24/02/2025;8;Estrutura/Alvenaria;42,0;43,0;16;675.000;81.000;189.000;945.000;955.000;7.800;350;2.500;0;Não;0;
03/03/2025;9;Alvenaria;49,0;50,0;16;785.000;94.200;219.800;1.099.000;1.110.000;9.200;420;5.000;0;Não;0;
10/03/2025;10;Alvenaria;54,0;56,0;15;850.000;102.000;238.000;1.190.000;1.205.000;10.000;460;7.500;2;Sim;0;Chuva e falta de tijolos (atraso de 2 dias)
17/03/2025;11;Alvenaria/Cobertura;60,0;62,0;16;925.000;111.000;259.000;1.295.000;1.310.000;10.800;500;10.000;0;Não;0;Recuperação parcial
24/03/2025;12;Cobertura/Instalações;66,0;68,0;16;1.000.000;120.000;280.000;1.400.000;1.415.000;11.400;540;11.500;0;Não;0;
31/03/2025;13;Instalações/Revestimentos;72,0;74,0;17;1.070.000;128.400;299.600;1.498.000;1.515.000;11.800;570;12.000;0;Não;0;
07/04/2025;14;Revestimentos;78,0;80,0;18;1.140.000;136.800;319.200;1.596.000;1.615.000;12.100;590;12.500;0;Não;0;
14/04/2025;15;Revestimentos;82,0;85,0;18;1.190.000;142.800;333.200;1.666.000;1.685.000;12.300;610;12.800;3;Não;0;Semana com 3 dias de chuva (atraso)
21/04/2025;16;Revestimentos;86,0;89,0;18;1.240.000;148.800;347.200;1.736.000;1.755.000;12.500;625;13.000;2;Não;0;Chuva no início da semana
28/04/2025;17;Revestimentos/Esquadrias;90,0;93,0;16;1.280.000;153.600;358.400;1.792.000;1.810.000;12.700;640;13.200;0;Não;0;
05/05/2025;18;Esquadrias/Pintura;93,0;96,0;14;1.310.000;157.200;366.800;1.834.000;1.855.000;12.850;650;13.400;0;Não;1;Incidente leve (corte com ferramenta)
12/05/2025;19;Pintura/Acabamentos;96,0;98,0;12;1.340.000;160.800;375.200;1.876.000;1.895.000;12.950;655;13.500;0;Não;0;
19/05/2025;20;Acabamentos;98,0;99,0;10;1.360.000;163.200;380.800;1.904.000;1.920.000;13.050;658;13.600;0;Não;0;
26/05/2025;21;Acabamentos;99,5;100,0;8;1.375.000;165.000;385.000;1.925.000;1.940.000;13.100;660;13.700;0;Não;0;
02/06/2025;22;Acabamentos;100,0;100,0;6;1.385.000;166.200;387.800;1.939.000;1.945.000;13.150;662;13.750;0;Não;0;Conclusão antecipada
09/06/2025;23;Entrega;100,0;100,0;4;1.385.000;166.200;387.800;1.939.000;1.945.000;13.150;662;13.750;0;Não;0;Obra entregue
16/06/2025;24;Entrega;100,0;100,0;2;1.385.000;166.200;387.800;1.939.000;1.945.000;13.150;662;13.750;0;Não;0;
23/06/2025;25;Entrega;100,0;100,0;0;1.385.000;166.200;387.800;1.939.000;1.945.000;13.150;662;13.750;0;Não;0;
30/06/2025;26;Entrega;100,0;100,0;0;1.385.000;166.200;387.800;1.939.000;1.945.000;13.150;662;13.750;0;Não;0;Fim do período de garantia
